# time   center_error   angle_error_deg
9.999999999999999547e-07 0.000000000000000000e+00 0.000000000000000000e+00
1.999999999999999909e-06 0.000000000000000000e+00 0.000000000000000000e+00
3.000000000000000076e-06 0.000000000000000000e+00 0.000000000000000000e+00
3.999999999999999819e-06 0.000000000000000000e+00 0.000000000000000000e+00
4.999999999999999562e-06 0.000000000000000000e+00 0.000000000000000000e+00
5.999999999999999305e-06 0.000000000000000000e+00 0.000000000000000000e+00
6.999999999999999048e-06 0.000000000000000000e+00 0.000000000000000000e+00
7.999999999999999638e-06 0.000000000000000000e+00 0.000000000000000000e+00
9.000000000000000228e-06 0.000000000000000000e+00 0.000000000000000000e+00
1.000000000000000082e-05 0.000000000000000000e+00 0.000000000000000000e+00
1.100000000000000141e-05 0.000000000000000000e+00 0.000000000000000000e+00
1.200000000000000200e-05 0.000000000000000000e+00 0.000000000000000000e+00
1.300000000000000259e-05 0.000000000000000000e+00 0.000000000000000000e+00
1.400000000000000318e-05 0.000000000000000000e+00 0.000000000000000000e+00
1.500000000000000377e-05 0.000000000000000000e+00 0.000000000000000000e+00
1.600000000000000266e-05 0.000000000000000000e+00 0.000000000000000000e+00
1.700000000000000325e-05 0.000000000000000000e+00 0.000000000000000000e+00
1.800000000000000384e-05 0.000000000000000000e+00 0.000000000000000000e+00
1.900000000000000443e-05 0.000000000000000000e+00 0.000000000000000000e+00
2.000000000000000502e-05 0.000000000000000000e+00 0.000000000000000000e+00
2.100000000000000561e-05 0.000000000000000000e+00 0.000000000000000000e+00
2.200000000000000620e-05 0.000000000000000000e+00 0.000000000000000000e+00
2.300000000000000679e-05 0.000000000000000000e+00 0.000000000000000000e+00
2.400000000000000738e-05 0.000000000000000000e+00 0.000000000000000000e+00
2.500000000000000797e-05 0.000000000000000000e+00 0.000000000000000000e+00
2.600000000000000856e-05 0.000000000000000000e+00 0.000000000000000000e+00
2.700000000000000915e-05 0.000000000000000000e+00 0.000000000000000000e+00
2.800000000000000974e-05 0.000000000000000000e+00 0.000000000000000000e+00
2.900000000000001033e-05 0.000000000000000000e+00 0.000000000000000000e+00
3.000000000000001092e-05 0.000000000000000000e+00 0.000000000000000000e+00
3.100000000000000813e-05 0.000000000000000000e+00 0.000000000000000000e+00
3.200000000000000533e-05 0.000000000000000000e+00 0.000000000000000000e+00
3.300000000000000253e-05 0.000000000000000000e+00 0.000000000000000000e+00
3.399999999999999973e-05 0.000000000000000000e+00 0.000000000000000000e+00
3.499999999999999693e-05 0.000000000000000000e+00 0.000000000000000000e+00
3.599999999999999414e-05 0.000000000000000000e+00 0.000000000000000000e+00
3.699999999999999134e-05 0.000000000000000000e+00 0.000000000000000000e+00
3.799999999999998854e-05 0.000000000000000000e+00 0.000000000000000000e+00
3.899999999999998574e-05 0.000000000000000000e+00 0.000000000000000000e+00
3.999999999999998294e-05 0.000000000000000000e+00 0.000000000000000000e+00
4.099999999999998015e-05 0.000000000000000000e+00 0.000000000000000000e+00
4.199999999999997735e-05 0.000000000000000000e+00 0.000000000000000000e+00
4.299999999999997455e-05 0.000000000000000000e+00 0.000000000000000000e+00
4.399999999999997175e-05 0.000000000000000000e+00 0.000000000000000000e+00
4.499999999999996895e-05 0.000000000000000000e+00 0.000000000000000000e+00
4.599999999999996615e-05 0.000000000000000000e+00 0.000000000000000000e+00
4.699999999999996336e-05 0.000000000000000000e+00 0.000000000000000000e+00
4.799999999999996056e-05 0.000000000000000000e+00 0.000000000000000000e+00
4.899999999999995776e-05 0.000000000000000000e+00 0.000000000000000000e+00
4.999999999999995496e-05 0.000000000000000000e+00 0.000000000000000000e+00
5.099999999999995216e-05 0.000000000000000000e+00 0.000000000000000000e+00
5.199999999999994937e-05 0.000000000000000000e+00 0.000000000000000000e+00
5.299999999999994657e-05 0.000000000000000000e+00 0.000000000000000000e+00
5.399999999999994377e-05 0.000000000000000000e+00 0.000000000000000000e+00
5.499999999999994097e-05 0.000000000000000000e+00 0.000000000000000000e+00
5.599999999999993817e-05 0.000000000000000000e+00 0.000000000000000000e+00
5.699999999999993538e-05 0.000000000000000000e+00 0.000000000000000000e+00
5.799999999999993258e-05 0.000000000000000000e+00 0.000000000000000000e+00
5.899999999999992978e-05 0.000000000000000000e+00 0.000000000000000000e+00
5.999999999999992698e-05 0.000000000000000000e+00 0.000000000000000000e+00
6.099999999999992418e-05 0.000000000000000000e+00 0.000000000000000000e+00
6.199999999999992138e-05 0.000000000000000000e+00 0.000000000000000000e+00
6.299999999999991859e-05 0.000000000000000000e+00 0.000000000000000000e+00
6.399999999999991579e-05 0.000000000000000000e+00 0.000000000000000000e+00
6.499999999999991299e-05 0.000000000000000000e+00 0.000000000000000000e+00
6.599999999999991019e-05 0.000000000000000000e+00 0.000000000000000000e+00
6.699999999999990739e-05 0.000000000000000000e+00 0.000000000000000000e+00
6.799999999999990460e-05 0.000000000000000000e+00 0.000000000000000000e+00
6.899999999999990180e-05 0.000000000000000000e+00 0.000000000000000000e+00
6.999999999999989900e-05 0.000000000000000000e+00 0.000000000000000000e+00
7.099999999999989620e-05 0.000000000000000000e+00 0.000000000000000000e+00
7.199999999999989340e-05 0.000000000000000000e+00 0.000000000000000000e+00
7.299999999999989061e-05 0.000000000000000000e+00 0.000000000000000000e+00
7.399999999999988781e-05 0.000000000000000000e+00 0.000000000000000000e+00
7.499999999999988501e-05 0.000000000000000000e+00 0.000000000000000000e+00
7.599999999999988221e-05 0.000000000000000000e+00 0.000000000000000000e+00
7.699999999999987941e-05 0.000000000000000000e+00 0.000000000000000000e+00
