# time   center_error   angle_error_deg
1.000000000000000082e-05 2.119168639183044434e-04 2.421564120208838378e-01
2.000000000000000164e-05 2.119243144989013672e-04 2.415690693243935094e-01
3.000000000000000415e-05 2.119354903697967529e-04 2.410575682993138236e-01
4.000000000000000327e-05 2.119429409503936768e-04 2.405636683165562340e-01
5.000000000000000240e-05 2.119392156600952148e-04 2.400753926749085443e-01
6.000000000000000152e-05 2.119466662406921387e-04 2.395907827355808761e-01
7.000000000000000742e-05 2.119466662406921387e-04 2.391030891658968704e-01
8.000000000000000654e-05 2.119392156600952148e-04 2.386119749753759511e-01
9.000000000000000567e-05 2.119280397891998291e-04 2.381187278606759494e-01
1.000000000000000048e-04 2.119317650794982910e-04 2.376217358480351427e-01
1.100000000000000039e-04 2.119317650794982910e-04 2.371232211666083334e-01
1.200000000000000030e-04 2.119503915309906006e-04 2.366211613147519988e-01
1.300000000000000157e-04 2.119615674018859863e-04 2.361135252164161258e-01
1.400000000000000148e-04 2.119615674018859863e-04 2.356021011306589641e-01
1.500000000000000140e-04 2.119690179824829102e-04 2.350840647040589038e-01
1.600000000000000131e-04 2.119727432727813721e-04 2.345597579045883285e-01
1.700000000000000122e-04 2.119764685630798340e-04 2.340373797522057042e-01
1.800000000000000113e-04 2.119801938533782959e-04 2.335086791541225171e-01
1.900000000000000105e-04 2.119913697242736816e-04 2.329799461007942829e-01
2.000000000000000096e-04 2.119988203048706055e-04 2.324477474347824424e-01
2.100000000000000087e-04 2.120099961757659912e-04 2.319117036340969662e-01
2.200000000000000078e-04 2.120323479175567627e-04 2.313685603324150131e-01
2.300000000000000070e-04 2.120472490787506104e-04 2.308203817439730132e-01
2.400000000000000061e-04 2.120435237884521484e-04 2.302651752544563335e-01
2.500000000000000052e-04 2.120286371791735291e-04 2.297093924956562783e-01
2.600000000000000314e-04 2.120472636306658387e-04 2.291522462475039656e-01
2.700000000000000577e-04 2.120435237884521484e-04 2.285963197740047692e-01
2.800000000000000839e-04 2.120696008205413818e-04 2.280366812946145738e-01
2.900000000000001101e-04 2.120807766914367676e-04 2.274741002398092127e-01
3.000000000000001363e-04 2.121143043041229248e-04 2.269072671671859276e-01
3.100000000000001626e-04 2.121292054653167725e-04 2.263365995077151194e-01
3.200000000000001888e-04 2.121292054653167725e-04 2.257652626169072141e-01
3.300000000000002150e-04 2.121441066265106201e-04 2.251956979066775111e-01
3.400000000000002413e-04 2.121664583683013916e-04 2.246271432828939596e-01
3.500000000000002675e-04 2.121739089488983154e-04 2.240546041456351611e-01
3.600000000000002937e-04 2.121850993717089295e-04 2.234714961142889866e-01
3.700000000000003200e-04 2.121962752426043153e-04 2.228888746736372162e-01
3.800000000000003462e-04 2.122111764037981629e-04 2.223050767182397081e-01
3.900000000000003724e-04 2.122223377227783203e-04 2.217105218911413489e-01
4.000000000000003986e-04 2.122260630130767822e-04 2.211196600998463768e-01
4.100000000000004249e-04 2.122409787261858582e-04 2.205229585937640291e-01
4.200000000000004511e-04 2.122484293067827821e-04 2.199234477882070771e-01
4.300000000000004773e-04 2.122596197295933962e-04 2.193286090003852551e-01
4.400000000000005036e-04 2.122782461810857058e-04 2.187342041850517116e-01
4.500000000000005298e-04 2.123043377650901675e-04 2.181391803016441977e-01
4.600000000000005560e-04 2.123155427398160100e-04 2.175418330542367440e-01
4.700000000000005822e-04 2.123192680301144719e-04 2.169443576055528344e-01
4.800000000000006085e-04 2.123267331626266241e-04 2.163510264335878341e-01
4.900000000000006347e-04 2.123454178217798471e-04 2.157650650071116782e-01
5.000000000000006609e-04 2.123528829542919993e-04 2.151773541892532116e-01
5.100000000000006872e-04 2.123901504091918468e-04 2.145873231403938042e-01
5.200000000000007134e-04 2.124199963873252273e-04 2.139956990641843360e-01
5.300000000000007396e-04 2.124498423654586077e-04 2.134038541626994412e-01
5.400000000000007658e-04 2.124871098203584552e-04 2.128090152021480663e-01
5.500000000000007921e-04 2.125132305081933737e-04 2.122131832009644115e-01
5.600000000000008183e-04 2.125282044289633632e-04 2.116138247456178789e-01
5.700000000000008445e-04 2.125654718838632107e-04 2.110152973994630088e-01
5.800000000000008708e-04 2.125990431522950530e-04 2.104317895631825086e-01
5.900000000000008970e-04 2.126326726283878088e-04 2.098379466756805367e-01
6.000000000000009232e-04 2.126848557963967323e-04 2.092556835710133456e-01
6.100000000000009494e-04 2.127259358530864120e-04 2.086725370874989716e-01
6.200000000000009757e-04 2.127745101461187005e-04 2.080935796299629159e-01
6.300000000000010019e-04 2.128118940163403749e-04 2.075229015563510304e-01
6.400000000000010281e-04 2.128492633346468210e-04 2.069562549590380496e-01
6.500000000000010544e-04 2.128940541297197342e-04 2.063743331612967191e-01
6.600000000000010806e-04 2.129389176843687892e-04 2.058042099515426382e-01
6.700000000000011068e-04 2.129837230313569307e-04 2.052248517448800325e-01
6.800000000000011331e-04 2.130323846358805895e-04 2.046564206830250587e-01
6.900000000000011593e-04 2.130698703695088625e-04 2.040906558243599234e-01
7.000000000000011855e-04 2.130886859958991408e-04 2.035151625548352050e-01
7.100000000000012117e-04 2.131334767909720540e-04 2.029381745205103005e-01
7.200000000000012380e-04 2.131672663381323218e-04 2.023741541530486576e-01
7.300000000000012642e-04 2.132047520717605948e-04 2.018171044873500464e-01
7.400000000000012904e-04 2.132311929017305374e-04 2.012568075750129637e-01
7.500000000000013167e-04 2.132835215888917446e-04 2.006964203321876528e-01
7.600000000000013429e-04 2.133286470780149102e-04 2.001607560590137058e-01
7.700000000000013691e-04 2.133811212843284011e-04 1.996110624291120295e-01
7.800000000000013953e-04 2.134261449100449681e-04 1.990768389951969863e-01
7.900000000000014216e-04 2.134675305569544435e-04 1.985562401046686021e-01
8.000000000000014478e-04 2.135199465556070209e-04 1.980245934016324205e-01
8.100000000000014740e-04 2.135615359293296933e-04 1.975076181532855191e-01
8.200000000000015003e-04 2.136140683433040977e-04 1.969809881930015549e-01
8.300000000000015265e-04 2.136443799827247858e-04 1.964596336643072982e-01
8.400000000000015527e-04 2.136931871064007282e-04 1.959364811896920910e-01
8.500000000000015789e-04 2.137237170245498419e-04 1.954296714901209986e-01
8.600000000000016052e-04 2.137690025847405195e-04 1.949325739126312185e-01
8.700000000000016314e-04 2.138293202733621001e-04 1.944658090859722466e-01
8.800000000000016576e-04 2.138670242857187986e-04 1.939649833626631570e-01
8.900000000000016839e-04 2.139162388630211353e-04 1.934712087081488507e-01
9.000000000000017101e-04 2.139692078344523907e-04 1.929984936700344933e-01
9.100000000000017363e-04 2.140403521480038762e-04 1.925017429678966829e-01
9.200000000000017625e-04 2.141043369192630053e-04 1.920284975095813973e-01
9.300000000000017888e-04 2.141498407581821084e-04 1.915812140279140319e-01
9.400000000000018150e-04 2.141992445103824139e-04 1.911184538218153040e-01
9.500000000000018412e-04 2.142371813533827662e-04 1.906683703798123797e-01
9.600000000000018675e-04 2.142977900803089142e-04 1.902400383208960599e-01
9.700000000000018937e-04 2.143323217751458287e-04 1.897836750898250768e-01
9.800000000000019199e-04 2.143851597793400288e-04 1.893313108714494153e-01
9.900000000000019462e-04 2.144201716873794794e-04 1.889176474703316011e-01
1.000000000000001972e-03 2.144546888303011656e-04 1.885025256730258891e-01
1.010000000000001999e-03 2.145078615285456181e-04 1.880852512444680380e-01
1.020000000000002025e-03 2.145613107131794095e-04 1.876734067230078351e-01
1.030000000000002051e-03 2.146372717106714845e-04 1.872831983349325935e-01
1.040000000000002077e-03 2.147088234778493643e-04 1.869002253224093524e-01
1.050000000000002104e-03 2.147507475456222892e-04 1.864956490515539689e-01
1.060000000000002130e-03 2.148011990357190371e-04 1.861102809264753022e-01
1.070000000000002156e-03 2.148289058823138475e-04 1.857225226355324332e-01
1.080000000000002182e-03 2.148795028915628791e-04 1.853907081253773348e-01
1.090000000000002208e-03 2.149073552573099732e-04 1.850436927780961249e-01
1.100000000000002235e-03 2.149613428628072143e-04 1.846850926523210812e-01
1.110000000000002261e-03 2.150186919607222080e-04 1.843548067146849045e-01
1.120000000000002287e-03 2.150693326257169247e-04 1.840210308900028791e-01
1.130000000000002313e-03 2.151124353986233473e-04 1.836914794265364914e-01
1.140000000000002340e-03 2.151670632883906364e-04 1.833953234060423931e-01
1.150000000000002366e-03 2.152065571863204241e-04 1.831049072578515846e-01
1.160000000000002392e-03 2.152424131054431200e-04 1.828055036808820810e-01
1.170000000000002418e-03 2.152642700821161270e-04 1.825497024878572905e-01
1.180000000000002445e-03 2.153104724129661918e-04 1.822933949976121015e-01
1.190000000000002471e-03 2.153412788175046444e-04 1.820228729613671270e-01
1.200000000000002497e-03 2.153954992536455393e-04 1.817538967904822056e-01
1.210000000000002523e-03 2.154462854377925396e-04 1.814822579488842014e-01
1.220000000000002549e-03 2.154995163436979055e-04 1.812426283309449548e-01
1.230000000000002576e-03 2.155342954210937023e-04 1.809833812059873370e-01
1.240000000000002602e-03 2.155839465558528900e-04 1.807500694543605624e-01
1.250000000000002628e-03 2.156428963644430041e-04 1.805477954281278774e-01
1.260000000000002654e-03 2.156860136892646551e-04 1.803120123509855122e-01
1.270000000000002681e-03 2.157327253371477127e-04 1.800880190526226443e-01
1.280000000000002707e-03 2.157936105504631996e-04 1.798505095123222319e-01
1.290000000000002733e-03 2.158271527150645852e-04 1.795913297954553067e-01
1.300000000000002759e-03 2.158807183150202036e-04 1.793806711395481424e-01
1.310000000000002785e-03 2.159243886126205325e-04 1.791863256018828843e-01
1.320000000000002812e-03 2.159458817914128304e-04 1.790093092067340241e-01
1.330000000000002838e-03 2.159626310458406806e-04 1.788151998199995485e-01
1.340000000000002864e-03 2.159949217457324266e-04 1.786773582364069857e-01
1.350000000000002890e-03 2.160404546884819865e-04 1.785220793160208208e-01
1.360000000000002917e-03 2.160683216061443090e-04 1.783909876578836373e-01
1.370000000000002943e-03 2.161091106245294213e-04 1.782008042479531207e-01
1.380000000000002969e-03 2.161696902476251125e-04 1.781091148320617656e-01
1.390000000000002995e-03 2.161985903512686491e-04 1.780326850399976124e-01
1.400000000000003022e-03 2.162383607355877757e-04 1.779453517349905978e-01
1.410000000000003048e-03 2.163008030038326979e-04 1.778284171405803693e-01
1.420000000000003074e-03 2.163416647817939520e-04 1.777507547932302978e-01
1.430000000000003100e-03 2.163814497180283070e-04 1.777256828996189864e-01
1.440000000000003126e-03 2.164222241844981909e-04 1.776888930440447545e-01
1.450000000000003153e-03 2.164568577427417040e-04 1.776678725211082166e-01
1.460000000000003179e-03 2.164873876608908176e-04 1.777205551891332114e-01
1.470000000000003205e-03 2.165277255699038506e-04 1.777610816485758194e-01
1.480000000000003231e-03 2.165941696148365736e-04 1.777624948680505412e-01
1.490000000000003258e-03 2.166526537621393800e-04 1.777272278825787200e-01
1.500000000000003284e-03 2.166892518289387226e-04 1.777399595675513144e-01
1.510000000000003310e-03 2.167183556593954563e-04 1.777655381740751162e-01
1.520000000000003336e-03 2.167579077649861574e-04 1.777352463113103243e-01
1.530000000000003363e-03 2.167870406992733479e-04 1.778035653557227536e-01
1.540000000000003389e-03 2.167902857763692737e-04 1.778131777787185230e-01
1.550000000000003415e-03 2.168267819797620177e-04 1.778105602771679339e-01
1.560000000000003441e-03 2.168702048948034644e-04 1.778388105835161659e-01
1.570000000000003467e-03 2.169286308344453573e-04 1.778529883813172452e-01
1.580000000000003494e-03 2.169319195672869682e-04 1.779383818814242735e-01
1.590000000000003520e-03 2.169644285459071398e-04 1.780200739527720843e-01
1.600000000000003546e-03 2.170035440940409899e-04 1.780702584736002236e-01
1.610000000000003572e-03 2.169906365452334285e-04 1.781646813705411170e-01
1.620000000000003599e-03 2.170232473872601986e-04 1.783082735067014757e-01
1.630000000000003625e-03 2.170620282413437963e-04 1.784506910664797052e-01
1.640000000000003651e-03 2.170941734220832586e-04 1.786185492191505741e-01
1.650000000000003677e-03 2.171159867430105805e-04 1.787745568262992801e-01
1.660000000000003703e-03 2.171421801904216409e-04 1.789660264404187018e-01
1.670000000000003730e-03 2.171626110794022679e-04 1.791669007434660565e-01
1.680000000000003756e-03 2.171971864299848676e-04 1.792932857029599092e-01
1.690000000000003782e-03 2.172506210627034307e-04 1.795403681803757756e-01
1.700000000000003808e-03 2.172526437789201736e-04 1.797387119397769462e-01
1.710000000000003835e-03 2.172781387344002724e-04 1.799512932040373547e-01
1.720000000000003861e-03 2.172982640331611037e-04 1.801054896665229832e-01
1.730000000000003887e-03 2.172895183321088552e-04 1.803014267671091964e-01
1.740000000000003913e-03 2.173155226046219468e-04 1.804986328937148443e-01
1.750000000000003940e-03 2.173514512833207846e-04 1.807286844990794450e-01
1.760000000000003966e-03 2.173721295548602939e-04 1.809805949151605253e-01
1.770000000000003992e-03 2.173846005462110043e-04 1.811927477719873503e-01
1.780000000000004018e-03 2.173763059545308352e-04 1.814694299586050996e-01
1.790000000000004044e-03 2.173803222831338644e-04 1.817502314723922763e-01
1.800000000000004071e-03 2.173721586586907506e-04 1.820339084002958741e-01
1.810000000000004097e-03 2.174075489165261388e-04 1.823228416065588164e-01
1.820000000000004123e-03 2.174109831685200334e-04 1.826159828107578598e-01
1.830000000000004149e-03 2.173990360461175442e-04 1.828971941808209545e-01
1.840000000000004176e-03 2.174063556594774127e-04 1.831685643074044967e-01
1.850000000000004202e-03 2.173849788960069418e-04 1.834719648159687799e-01
1.860000000000004228e-03 2.173857501475140452e-04 1.838132595807118463e-01
1.870000000000004254e-03 2.173669636249542236e-04 1.840647831779106680e-01
1.880000000000004281e-03 2.173599496018141508e-04 1.843626755151565877e-01
1.890000000000004307e-03 2.173562825191766024e-04 1.846313689205704711e-01
1.900000000000004333e-03 2.173346874769777060e-04 1.849806456501943142e-01
1.910000000000004359e-03 2.173001412302255630e-04 1.853134303307197861e-01
1.920000000000004385e-03 2.172401291318237782e-04 1.856517673163474713e-01
1.930000000000004412e-03 2.172188542317599058e-04 1.860421148966975025e-01
1.940000000000004438e-03 2.172064559999853373e-04 1.863789568905860616e-01
1.950000000000004464e-03 2.171659434679895639e-04 1.867329328530099863e-01
1.960000000000004274e-03 2.171521773561835289e-04 1.871112705628809325e-01
1.970000000000004300e-03 2.171124797314405441e-04 1.874308826881493639e-01
1.980000000000004326e-03 2.170710504287853837e-04 1.878168525916286691e-01
1.990000000000004352e-03 2.170877705793827772e-04 1.881791157336371589e-01
2.000000000000004378e-03 2.170881489291787148e-04 1.885703627505198599e-01
