# time   center_error   angle_error_deg
1.000000000000000082e-05 5.268355973697680383e-09 6.556199388789433937e-05
2.000000000000000164e-05 1.666000493116825965e-08 1.277871923276527473e-04
3.000000000000000415e-05 1.490116119384765625e-08 1.844276229457936375e-04
4.000000000000000327e-05 1.862645149230957031e-08 2.355607139160935338e-04
5.000000000000000240e-05 1.178040243132727483e-08 2.812582922519792864e-04
6.000000000000000152e-05 1.535976501543245831e-08 3.226098579391970759e-04
7.000000000000000742e-05 1.490116119384765625e-08 3.592956874995034341e-04
8.000000000000000654e-05 1.117587089538574219e-08 3.923241849037649269e-04
9.000000000000000567e-05 1.666000493116825965e-08 4.217840593715466049e-04
1.000000000000000048e-04 1.899532797722258692e-08 4.468313682747840051e-04
1.100000000000000039e-04 3.003425064207476680e-08 4.694705416124454202e-04
1.200000000000000030e-04 2.634178031257761177e-08 4.876318619996717089e-04
1.300000000000000157e-04 1.666000493116825965e-08 5.010476145410373231e-04
1.400000000000000148e-04 1.666000493116825965e-08 5.128760278871970007e-04
1.500000000000000140e-04 1.666000493116825965e-08 5.206223044233916500e-04
1.600000000000000131e-04 2.006130195297828323e-08 5.260233779226593416e-04
1.700000000000000122e-04 1.899532797722258692e-08 5.287732637325364207e-04
1.800000000000000113e-04 2.266005694195882825e-08 5.260188614459560767e-04
1.900000000000000105e-04 1.535976501543245831e-08 5.237869009134630150e-04
2.000000000000000096e-04 2.499000650857396977e-08 5.183533857055555366e-04
2.100000000000000087e-04 1.862645149230957031e-08 5.107516824782953836e-04
2.200000000000000078e-04 2.499000650857396977e-08 4.993566794383020148e-04
2.300000000000000070e-04 2.712052271647280577e-08 4.859374259331763492e-04
2.400000000000000061e-04 2.356080486265454965e-08 4.696605062202386326e-04
2.500000000000000052e-04 2.837096602092969988e-08 4.502585091979242069e-04
2.600000000000000314e-04 3.799065595444517385e-08 4.295808715756861793e-04
2.700000000000000577e-04 4.532011388391765649e-08 4.072950397848625341e-04
2.800000000000000839e-04 4.842877388000488281e-08 3.811970432809901770e-04
2.900000000000001101e-04 4.532011388391765649e-08 3.533674943372118373e-04
3.000000000000001363e-04 4.485843518864385260e-08 3.247043707884084813e-04
3.100000000000001626e-04 4.532011388391765649e-08 2.929541831564481794e-04
3.200000000000001888e-04 4.247484497454934171e-08 2.580348562354427126e-04
3.300000000000002150e-04 4.114717455649952171e-08 2.226102008783135066e-04
3.400000000000002413e-04 3.534120551762498508e-08 1.856255217565270339e-04
3.500000000000002675e-04 3.373394008576724445e-08 1.458928522064536311e-04
3.600000000000002937e-04 2.634178031257761177e-08 1.040674350022948374e-04
3.700000000000003200e-04 2.266005694195882825e-08 6.245610356724462379e-05
3.800000000000003462e-04 1.666000493116825965e-08 1.815199596778886243e-05
3.900000000000003724e-04 1.666000493116825965e-08 2.809138192493153312e-05
4.000000000000003986e-04 2.499000650857396977e-08 7.509329745352109106e-05
4.100000000000004249e-04 1.343172506551582046e-08 1.244492385723906574e-04
4.200000000000004511e-04 2.499000650857396977e-08 1.750167964887791529e-04
4.300000000000004773e-04 3.071953003086491663e-08 2.262143254587588466e-04
4.400000000000005036e-04 3.003425064207476680e-08 2.798933151634963460e-04
4.500000000000005298e-04 3.332000986233651929e-08 3.343732718923313001e-04
4.600000000000005560e-04 3.003425064207476680e-08 3.909446773621641914e-04
4.700000000000005822e-04 2.837096602092969988e-08 4.481314562973222424e-04
4.800000000000006085e-04 2.712052271647280577e-08 5.056423313118554950e-04
4.900000000000006347e-04 3.071953003086491663e-08 5.669388188275123171e-04
5.000000000000006609e-04 2.266005694195882825e-08 6.274788111322943595e-04
5.100000000000006872e-04 3.003425064207476680e-08 6.905291027700197638e-04
5.200000000000007134e-04 4.165001143974222941e-08 7.550388764370336014e-04
5.300000000000007396e-04 4.485843518864385260e-08 8.204139950026191229e-04
5.400000000000007658e-04 3.889317312655293790e-08 8.859121740251068092e-04
5.500000000000007921e-04 5.268356062515522353e-08 9.509088968350177997e-04
5.600000000000008183e-04 4.247484497454934171e-08 1.019058704575330574e-03
5.700000000000008445e-04 5.698598215531092137e-08 1.087819806808644919e-03
5.800000000000008708e-04 7.117156997082929593e-08 1.156841722769837068e-03
5.900000000000008970e-04 7.450580596923828125e-08 1.227034448299540613e-03
6.000000000000009232e-04 7.165738935555054923e-08 1.297892531047221748e-03
6.100000000000009494e-04 7.165738935555054923e-08 1.369698801316318344e-03
6.200000000000009757e-04 6.959416509744187351e-08 1.442030120529230004e-03
6.300000000000010019e-04 6.959416509744187351e-08 1.515727395945299901e-03
6.400000000000010281e-04 8.330002287948445883e-08 1.589997605349747437e-03
6.500000000000010544e-04 6.959416509744187351e-08 1.665790446467683896e-03
6.600000000000010806e-04 7.679882685351913096e-08 1.737975555403777767e-03
6.700000000000011068e-04 7.233205678858212195e-08 1.813754898158590574e-03
6.800000000000011331e-04 7.068241103524997015e-08 1.890138828685248434e-03
6.900000000000011593e-04 7.679882685351913096e-08 1.965020703193651359e-03
7.000000000000011855e-04 7.963760850770995603e-08 2.042620612203296070e-03
7.100000000000012117e-04 7.487740560918609845e-08 2.120839415081576113e-03
7.200000000000012380e-04 7.165738935555054923e-08 2.198030029348593557e-03
7.300000000000012642e-04 7.963760850770995603e-08 2.274181355288343136e-03
7.400000000000012904e-04 8.330002287948445883e-08 2.352434239311257044e-03
7.500000000000013167e-04 8.971687037728770520e-08 2.430842450352927592e-03
7.600000000000013429e-04 8.600500223110429943e-08 2.510358025283768429e-03
7.700000000000013691e-04 9.750017682108591544e-08 2.587507174404959399e-03
7.800000000000013953e-04 1.006518033364045550e-07 2.665117792863827377e-03
7.900000000000014216e-04 1.006518033364045550e-07 2.744894924551008562e-03
8.000000000000014478e-04 1.043746280515733815e-07 2.822239916542988031e-03
8.100000000000014740e-04 1.008584078476815193e-07 2.901367354836887052e-03
8.200000000000015003e-04 1.080976304024261481e-07 2.979842200369300486e-03
8.300000000000015265e-04 1.118207819672534242e-07 3.060436553279833986e-03
8.400000000000015527e-04 1.080976304024261481e-07 3.140067477081974045e-03
8.500000000000015789e-04 1.229345798492431641e-07 3.218549498798137579e-03
8.600000000000016052e-04 1.341104507446289062e-07 3.295599930079403002e-03
8.700000000000016314e-04 1.304383658862207085e-07 3.373723109772018211e-03
8.800000000000016576e-04 1.305978543086894206e-07 3.452548253950994510e-03
8.900000000000016839e-04 1.305978543086894206e-07 3.530623330285774086e-03
9.000000000000017101e-04 1.271519636247830931e-07 3.608100512236980632e-03
9.100000000000017363e-04 1.308632562313505332e-07 3.684500152655487484e-03
9.200000000000017625e-04 1.312338895331777167e-07 3.763113734720995203e-03
9.300000000000017888e-04 1.349357603430689778e-07 3.839515405732833123e-03
9.400000000000018150e-04 1.349357603430689778e-07 3.917109680148136812e-03
9.500000000000018412e-04 1.275333971761938301e-07 3.996076485914570181e-03
9.600000000000018675e-04 1.231601487461375655e-07 4.070785160315350780e-03
9.700000000000018937e-04 1.234415236694985651e-07 4.145731397304342793e-03
9.800000000000019199e-04 1.157240916427326738e-07 4.221900779520186033e-03
9.900000000000019462e-04 1.192674830008400022e-07 4.296403222684310082e-03
1.000000000000001972e-03 1.080334186553955078e-07 4.370044699008826528e-03
1.010000000000001999e-03 1.005828380584716797e-07 4.441791430464730323e-03
1.020000000000002025e-03 1.006518033364045550e-07 4.515302396315558180e-03
1.030000000000002051e-03 1.086099459257638955e-07 4.586671102766685416e-03
1.040000000000002077e-03 9.714368331970035797e-08 4.660306448890107721e-03
1.050000000000002104e-03 1.160235072461546224e-07 4.730604439813215593e-03
1.060000000000002130e-03 1.271519636247830931e-07 4.801733657023327106e-03
1.070000000000002156e-03 1.312338895331777167e-07 4.870554992588476718e-03
1.080000000000002182e-03 1.308632562313505332e-07 4.941632369110890780e-03
1.090000000000002208e-03 1.390885842056377442e-07 5.008018549318834708e-03
1.100000000000002235e-03 1.353977694407149102e-07 5.077860371832974146e-03
1.110000000000002261e-03 1.373819173977608443e-07 5.146507570604425506e-03
1.120000000000002287e-03 1.563734741694133845e-07 5.211506610435699682e-03
1.130000000000002313e-03 1.476080200291107758e-07 5.278280740403915039e-03
1.140000000000002340e-03 1.402808038619696163e-07 5.342624561556869392e-03
1.150000000000002366e-03 1.402808038619696163e-07 5.407393814187461296e-03
1.160000000000002392e-03 1.446641135771642439e-07 5.469992398029660356e-03
1.170000000000002418e-03 1.476080200291107758e-07 5.531191281052196679e-03
1.180000000000002445e-03 1.479484410538134398e-07 5.592827418272065289e-03
1.190000000000002471e-03 1.516083329988759942e-07 5.653625949075850692e-03
1.200000000000002497e-03 1.439428274352394510e-07 5.713854773123760306e-03
1.210000000000002523e-03 1.512761400590534322e-07 5.772870432957964877e-03
1.220000000000002549e-03 1.676897909419494681e-07 5.830036607229396352e-03
1.230000000000002576e-03 1.717273931944873766e-07 5.887729483226245009e-03
1.240000000000002602e-03 1.766373003420085297e-07 5.943857439719670704e-03
1.250000000000002628e-03 1.811751531022309791e-07 6.000504163764970589e-03
1.260000000000002654e-03 1.857515883330052020e-07 6.054311882336608011e-03
1.270000000000002681e-03 1.975194408032621141e-07 6.106784025325238084e-03
1.280000000000002707e-03 1.934283204718667548e-07 6.158341295092630355e-03
1.290000000000002733e-03 1.944658691854783683e-07 6.210391347496427468e-03
1.300000000000002759e-03 1.985705466722720303e-07 6.260569331076101980e-03
1.310000000000002785e-03 1.991201656892371830e-07 6.310645352828187817e-03
1.320000000000002812e-03 2.067871633926188224e-07 6.360421848196756538e-03
1.330000000000002838e-03 2.073484637321598711e-07 6.408372445148737169e-03
1.340000000000002864e-03 1.955688730959082022e-07 6.455627689376872667e-03
1.350000000000002890e-03 2.073484637321598711e-07 6.504955828872882422e-03
1.360000000000002917e-03 2.002668395562068326e-07 6.551315046383767750e-03
1.370000000000002943e-03 1.926104715721521643e-07 6.596402608466133723e-03
1.380000000000002969e-03 1.879057265341543825e-07 6.640589810681717629e-03
1.390000000000002995e-03 1.938314824201370357e-07 6.680732739751153552e-03
1.400000000000003022e-03 1.938314824201370357e-07 6.721873898616862950e-03
1.410000000000003048e-03 1.879057265341543825e-07 6.763898757463988193e-03
1.420000000000003074e-03 1.932129691795125837e-07 6.801144457832123194e-03
1.430000000000003100e-03 1.916353227215950028e-07 6.838415591696601036e-03
1.440000000000003126e-03 1.938314824201370357e-07 6.875444202541620281e-03
1.450000000000003153e-03 1.944658691854783683e-07 6.914113898854351570e-03
1.460000000000003179e-03 1.916353227215950028e-07 6.950537940775491919e-03
1.470000000000003205e-03 1.874898316600592807e-07 6.987131510637597902e-03
1.480000000000003231e-03 1.826912097158128745e-07 7.021339548601916204e-03
1.490000000000003258e-03 1.814334922300986364e-07 7.055762293039671666e-03
1.500000000000003284e-03 1.785518009000952588e-07 7.087866466643376676e-03
1.510000000000003310e-03 1.814334922300986364e-07 7.117923374092384632e-03
1.520000000000003336e-03 1.820539097252549254e-07 7.150112666508334769e-03
1.530000000000003363e-03 1.792015638102384401e-07 7.179332262136957181e-03
1.540000000000003389e-03 1.826912097158128745e-07 7.206009136570656025e-03
1.550000000000003415e-03 1.805517229058750672e-07 7.235913469300262781e-03
1.560000000000003441e-03 1.895601826618076302e-07 7.259800488968430263e-03
1.570000000000003467e-03 2.013122184507665224e-07 7.282722345680625771e-03
1.580000000000003494e-03 2.013122184507665224e-07 7.307523976778576222e-03
1.590000000000003520e-03 1.978704347038728883e-07 7.330588893294594406e-03
1.600000000000003546e-03 2.013122184507665224e-07 7.352867542884057930e-03
1.610000000000003572e-03 1.923130383829629864e-07 7.372381892090856814e-03
1.620000000000003599e-03 2.075491636333026690e-07 7.392447299074711084e-03
1.630000000000003625e-03 2.006130159770691535e-07 7.412792962797100371e-03
1.640000000000003651e-03 2.069129720894125057e-07 7.433103086448062183e-03
1.650000000000003677e-03 2.201391282596887322e-07 7.449467309021979428e-03
1.660000000000003703e-03 2.292264724701453815e-07 7.464929664356112146e-03
1.670000000000003730e-03 2.216782490904734004e-07 7.479567374772376660e-03
1.680000000000003756e-03 2.250642694434645819e-07 7.494924353107441754e-03
1.690000000000003782e-03 2.209021801036215038e-07 7.508593573434009516e-03
1.700000000000003808e-03 2.307951945113018155e-07 7.519169630690290818e-03
1.710000000000003835e-03 2.440918080992560135e-07 7.527338091637681555e-03
1.720000000000003861e-03 2.399272034381283447e-07 7.536643800463501894e-03
1.730000000000003887e-03 2.374050609432742931e-07 7.548406754463900768e-03
1.740000000000003913e-03 2.240832515099100419e-07 7.557039272562757724e-03
1.750000000000003940e-03 2.158499512461276026e-07 7.564483635111203530e-03
1.760000000000003966e-03 2.274639854249471682e-07 7.571385293653990801e-03
1.770000000000003992e-03 2.250642694434645819e-07 7.577730924084227944e-03
1.780000000000004018e-03 2.310355853296641726e-07 7.582460224677837167e-03
1.790000000000004044e-03 2.342864036108949222e-07 7.585108365573953182e-03
1.800000000000004071e-03 2.301252663983177627e-07 7.589501426399636319e-03
1.810000000000004097e-03 2.209021801036215038e-07 7.590482643905085459e-03
1.820000000000004123e-03 2.116869808332921821e-07 7.591793762676480456e-03
1.830000000000004149e-03 2.042549880343358382e-07 7.592915302545949659e-03
1.840000000000004176e-03 2.125783282735937973e-07 7.589497122008679805e-03
1.850000000000004202e-03 2.195729962295445148e-07 7.586890566095329247e-03
1.860000000000004228e-03 2.209021801036215038e-07 7.583830763252429746e-03
1.870000000000004254e-03 2.204560729524018825e-07 7.581503039774338190e-03
1.880000000000004281e-03 2.195729962295445148e-07 7.575358843095687800e-03
1.890000000000004307e-03 2.169981598854064941e-07 7.566566698765060835e-03
1.900000000000004333e-03 2.174194406734386575e-07 7.561941594981177149e-03
1.910000000000004359e-03 2.261733698105672374e-07 7.553109844220880394e-03
1.920000000000004385e-03 2.294930823154572863e-07 7.543002993567677825e-03
1.930000000000004412e-03 2.345028775607715943e-07 7.533345983221875763e-03
1.940000000000004438e-03 2.274639854249471682e-07 7.524270195218201417e-03
1.950000000000004464e-03 2.241761336563286022e-07 7.514720127346842179e-03
1.960000000000004274e-03 2.191360692904709140e-07 7.502832578698101669e-03
1.970000000000004300e-03 2.250642694434645819e-07 7.492714010022702431e-03
1.980000000000004326e-03 2.338361611009531771e-07 7.480473833085594070e-03
1.990000000000004352e-03 2.273362014193480718e-07 7.466042340006960945e-03
2.000000000000004378e-03 2.199519002488159458e-07 7.450335617720431000e-03
2.010000000000000068e-03 2.157956942028249614e-07 7.436077892389376075e-03
2.020000000000000094e-03 2.172198918515277910e-07 7.418617523717205633e-03
2.030000000000000120e-03 2.218523036390251946e-07 7.401497393291807912e-03
2.040000000000000147e-03 2.140340598089096602e-07 7.383912871464092149e-03
2.050000000000000173e-03 2.010988282563630491e-07 7.364008456702992277e-03
2.060000000000000199e-03 2.067200455257989233e-07 7.343300077353147846e-03
2.070000000000000225e-03 2.040786881707390421e-07 7.322123950638711673e-03
2.080000000000000251e-03 2.097441011983391945e-07 7.296800445719241017e-03
2.090000000000000278e-03 2.019939699948736234e-07 7.275957666064610148e-03
2.100000000000000304e-03 1.989131419577461202e-07 7.253505655851289445e-03
2.110000000000000330e-03 1.973437093738539261e-07 7.229739795781518590e-03
2.120000000000000356e-03 1.952937083160577458e-07 7.206559965042442194e-03
2.130000000000000383e-03 2.009607698028048617e-07 7.180319280611561876e-03
2.140000000000000409e-03 2.046283356094136252e-07 7.154169015501803987e-03
2.150000000000000435e-03 2.057021504242584342e-07 7.125830619614202492e-03
2.160000000000000461e-03 2.128718961103004403e-07 7.097012429171487176e-03
2.170000000000000488e-03 2.219133818925911328e-07 7.066324633721333785e-03
2.180000000000000514e-03 2.110350010298134293e-07 7.035323379359743716e-03
2.190000000000000540e-03 2.177627607125032227e-07 7.004600955054357363e-03
2.200000000000000566e-03 2.177906424094544491e-07 6.972787057248128369e-03
2.210000000000000592e-03 2.235174179077148438e-07 6.939705889069564503e-03
2.220000000000000619e-03 2.251379669360176194e-07 6.905740676290123350e-03
2.230000000000000645e-03 2.171959323504779604e-07 6.868489727103486119e-03
2.240000000000000671e-03 2.276164536851865705e-07 6.834127740369255223e-03
2.250000000000000697e-03 2.231217450798794744e-07 6.798966444551387059e-03
2.260000000000000724e-03 2.289354057438686141e-07 6.760762054597501021e-03
2.270000000000000750e-03 2.440638127154670656e-07 6.722674068778428796e-03
2.280000000000000776e-03 2.452373166761390166e-07 6.683795038636116195e-03
2.290000000000000802e-03 2.545430106692947447e-07 6.644622692448635959e-03
2.300000000000000829e-03 2.542493575674598105e-07 6.607094738888709753e-03
2.310000000000000855e-03 2.629712696489150403e-07 6.568502475158003590e-03
2.320000000000000881e-03 2.693841452128253877e-07 6.526970865127544250e-03
2.330000000000000907e-03 2.798697948946937686e-07 6.483988401060258346e-03
2.340000000000000933e-03 2.858061236565845320e-07 6.439160910396112859e-03
2.350000000000000960e-03 2.874092217552970396e-07 6.396722244699739289e-03
2.360000000000000986e-03 2.884365812860778533e-07 6.351882360431777841e-03
2.370000000000001012e-03 2.957540345960296690e-07 6.308749859257003004e-03
2.380000000000001038e-03 3.073633365602290723e-07 6.265873364535289036e-03
2.390000000000001065e-03 3.065975704430456972e-07 6.219767443962930832e-03
2.400000000000001091e-03 3.008677254001668189e-07 6.173536912483235106e-03
2.410000000000001117e-03 3.025881198936986038e-07 6.125752581883366944e-03
2.420000000000001143e-03 3.049531187571119517e-07 6.078680077187787779e-03
2.430000000000001169e-03 2.980875990488129901e-07 6.033641740728338219e-03
2.440000000000001196e-03 3.078023098623816622e-07 5.984893465967411168e-03
2.450000000000001222e-03 3.101751531175978016e-07 5.937353195440941457e-03
2.460000000000001248e-03 3.253646525536169065e-07 5.887302078888705971e-03
2.470000000000001274e-03 3.115334834546956699e-07 5.838326880596754823e-03
2.480000000000001301e-03 3.217571702407440171e-07 5.785349252854099164e-03
2.490000000000001327e-03 3.190016570897569181e-07 5.735605015631637001e-03
2.500000000000001353e-03 3.122464420357573545e-07 5.685347415115870814e-03
2.510000000000001379e-03 3.207651673164946260e-07 5.634544245671650568e-03
2.520000000000001406e-03 3.421602059461292811e-07 5.580163609930409094e-03
2.530000000000001432e-03 3.277859264017024543e-07 5.526944149698520721e-03
2.540000000000001458e-03 3.148364839944406413e-07 5.471846033262126388e-03
2.550000000000001484e-03 3.132267352157214191e-07 5.415421691704543593e-03
2.560000000000001510e-03 3.089241431553091388e-07 5.358351895167207633e-03
2.570000000000001537e-03 3.076235657317738514e-07 5.300340423376861954e-03
2.580000000000001563e-03 3.064922395878966199e-07 5.241821743684297111e-03
2.590000000000001589e-03 3.089950268986285664e-07 5.184942868898158828e-03
2.600000000000001615e-03 3.170145532749302220e-07 5.124267513420188366e-03
2.610000000000001642e-03 3.134873338694887934e-07 5.067426342672188243e-03
2.620000000000001668e-03 3.173604739004076691e-07 5.006237883974870052e-03
2.630000000000001694e-03 3.245281732233706862e-07 4.947348505608904420e-03
2.640000000000001720e-03 3.200367189037933713e-07 4.888584946500250210e-03
2.650000000000001747e-03 3.176548091232689330e-07 4.825939045037166281e-03
2.660000000000001773e-03 3.295356520993664162e-07 4.765464593500343994e-03
2.670000000000001799e-03 3.281693068402091740e-07 4.703845789374767709e-03
2.680000000000001825e-03 3.300418427443219116e-07 4.638863045013626521e-03
2.690000000000001851e-03 3.368817260707146488e-07 4.574662975097998178e-03
2.700000000000001878e-03 3.414821492242481327e-07 4.509508396403942403e-03
2.710000000000001904e-03 3.450873862220760202e-07 4.444004200134580446e-03
2.720000000000001930e-03 3.404834387765731663e-07 4.380868643519037972e-03
2.730000000000001956e-03 3.270152717504970497e-07 4.316429131326464559e-03
2.740000000000001983e-03 3.218824531359132379e-07 4.249799644308609355e-03
2.750000000000002009e-03 3.366612020272441441e-07 4.184480693454503859e-03
2.760000000000002035e-03 3.429445882829895709e-07 4.117837973242730390e-03
2.770000000000002061e-03 3.478711221305275103e-07 4.049425737331345011e-03
2.780000000000002087e-03 3.495702287636959227e-07 3.980868017371914057e-03
2.790000000000002114e-03 3.424637213811365655e-07 3.910702851749274685e-03
2.800000000000002140e-03 3.422661052354669664e-07 3.841569320862534866e-03
2.810000000000002166e-03 3.409127202758099884e-07 3.770021740582261017e-03
2.820000000000002192e-03 3.356461775183561258e-07 3.700431681909319061e-03
2.830000000000002219e-03 3.383589159966504667e-07 3.628483130798769007e-03
2.840000000000002245e-03 3.432842845541017596e-07 3.556608209350983762e-03
2.850000000000002271e-03 3.478711221305275103e-07 3.485720785611060892e-03
2.860000000000002297e-03 3.405751272111956496e-07 3.412740126491714283e-03
2.870000000000002324e-03 3.378853250524116447e-07 3.342010519254308681e-03
2.880000000000002350e-03 3.399008505766687449e-07 3.268447067648404952e-03
2.890000000000002376e-03 3.432842845541017596e-07 3.195316144845215811e-03
2.900000000000002402e-03 3.450873862220760202e-07 3.118748706351268021e-03
2.910000000000002428e-03 3.424431440635089530e-07 3.040777099910441181e-03
2.920000000000002455e-03 3.582482008823717479e-07 2.963010222523933604e-03
2.930000000000002481e-03 3.523514635617175372e-07 2.889012087060519214e-03
2.940000000000002507e-03 3.450873862220760202e-07 2.811805929938023408e-03
2.950000000000002533e-03 3.411286115806433372e-07 2.735867914996983896e-03
2.960000000000002560e-03 3.405445738735579653e-07 2.657519637055509153e-03
2.970000000000002586e-03 3.411896045690809842e-07 2.579930962254804727e-03
2.980000000000002612e-03 3.497026455079321750e-07 2.503025635759522152e-03
2.990000000000002638e-03 3.582482008823717479e-07 2.423032544123219882e-03
3.000000000000002665e-03 3.451677912380546331e-07 2.345038411149417707e-03
3.010000000000002691e-03 3.497026455079321750e-07 2.266520560300295042e-03
3.020000000000002717e-03 3.471035654456500197e-07 2.184950572972750148e-03
3.030000000000002743e-03 3.483706620954762911e-07 2.105555381076075049e-03
3.040000000000002769e-03 3.496927263313409640e-07 2.023696201127118607e-03
3.050000000000002796e-03 3.510196791012276663e-07 1.943432590395744591e-03
3.060000000000002822e-03 3.451677912380546331e-07 1.861897419518908922e-03
3.070000000000002848e-03 3.517835978072980652e-07 1.781191916978894186e-03
3.080000000000002874e-03 3.439645581693184795e-07 1.698652947179981948e-03
3.090000000000002901e-03 3.268079922236211132e-07 1.613834690805583064e-03
3.100000000000002927e-03 3.300418427443219116e-07 1.529567963483749720e-03
3.110000000000002953e-03 3.366612020272441441e-07 1.443563816610039276e-03
3.120000000000002979e-03 3.431528909914050018e-07 1.356402198580846253e-03
